model_id,model_name,family,params_B,size_parsed,cost,pool,error_rate
0,Qwen__Qwen1.5-7B-Chat,qwen,7.0,True,0.5310174,train,0.55478936
1,ConvexAI__Luminex-34B-v0.1,convexai,34.0,True,0.8490284,train,0.4535363
2,lmsys__vicuna-13b-v1.5,vicuna,13.0,True,0.65557927,train,0.5905026
3,deepseek-ai__deepseek-math-7b-instruct,deepseek,7.0,True,0.5310204,train,0.61242396
4,TigerResearch__tigerbot-13b-base,tigerresearch,13.0,True,0.65558124,test,0.6265803
5,ConvexAI__Luminex-34B-v0.2,convexai,34.0,True,0.8490324,train,0.44851848
6,berkeley-nest__Starling-LM-7B-alpha,starling,7.0,True,0.5310234,train,0.53603566
7,EleutherAI__llemma_7b,eleutherai,7.0,True,0.5310244,test,0.6528467
8,CultriX__NeuralTrix-bf16,cultrix,7.2,True,0.5366938,test,0.53637207
9,SciPhi__SciPhi-Mistral-7B-32k,mistral,7.0,True,0.5310264,train,0.559667
10,TheBloke__tulu-30B-fp16,tulu,30.0,True,0.8238527,test,0.54836994
11,lmsys__vicuna-33b-v1.3,vicuna,33.0,True,0.8430315,train,0.5794298
12,scb10x__typhoon-7b,scb10x,7.0,True,0.5310294,test,0.58430743
13,mlabonne__AlphaMonarch-7B,mlabonne,7.0,True,0.5310304,test,0.529392
14,mistralai__Mistral-7B-Instruct-v0.1,mistral,7.0,True,0.53103137,train,0.587363
15,01-ai__Yi-34B-Chat,yi,34.0,True,0.8490424,train,0.47770023
16,meta-llama__Llama-2-13b-chat-hf,llama-2,13.0,True,0.6555933,test,0.60272473
17,eren23__ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,eren23,7.0,True,0.5310344,test,0.5289435
18,ibivibiv__alpaca-dragon-72b-v1,ibivibiv,72.0,True,1.000018,train,0.7817677
19,golaxy__gowizardlm,golaxy,13.0,True,0.65559626,train,0.6749082
20,codellama__CodeLlama-34b-Instruct-hf,codellama,34.0,True,0.8490474,train,0.62338465
21,OpenBuddy__openbuddy-codellama2-34b-v11.1-bf16,codellama,34.0,True,0.84904844,train,0.5973986
22,deepseek-ai__deepseek-coder-1.3b-base,deepseek,1.3,True,0.19228505,train,0.75774395
23,Neko-Institute-of-Science__pygmalion-7b,neko-institute-of-science,7.0,True,0.5310404,train,0.7251142
